Probe Set ID,chr,bp_start
207086_x_at,X,49103592
207087_x_at,8,41632000
207088_s_at,17,4781367
207089_at,10,115364661
207090_x_at,19,42815228
207091_at,12,120055134
207092_at,7,127679277
207093_s_at,17,26645794
207094_at,2,218735783
207095_at,13,102494350
207096_at,11,18209478
207097_s_at,6,26020964
207098_s_at,3,180548216
207099_s_at,X,85006167
207100_s_at,12,6441875
207101_at,12,6441875
207102_at,7,137411735
207103_at,7,119700957
207104_x_at,19,59834336
207105_s_at,19,18127449
207106_s_at,15,39583127
207107_at,1,68667032
207108_s_at,5,37012021
207109_at,11,119616255
207110_at,17,21259201
207111_at,19,6838582
207112_s_at,4,144477716
207113_s_at,6,31651416
207114_at,6,31794403
207115_x_at,17,46623960
207116_s_at,19,40716236
207117_at,7,64075794
207118_s_at,1,1557445
207119_at,10,52504298
207120_at,19,61643835
207121_s_at,15,50125471
207122_x_at,16,28510766
207123_s_at,20,43355500
207124_s_at,15,50201935
207125_at,19,49309380
207126_x_at,2,234333657
207127_s_at,10,69766568
207128_s_at,19,49248060
207129_at,X,15666312
207130_at,20,45352764
207131_x_at,22,23309717
207132_x_at,12,51975602
207133_x_at,4,113437974
207134_x_at,16,1230906
207135_at,13,46305513
207136_at,X,69405925
207137_at,8,145632800
207138_at,9,95378507
207139_at,19,40732938
207140_at,2,233029108
207141_s_at,2,155263056
207142_at,2,155263338
207143_at,7,92082238
207144_s_at,X,71438221
207145_at,2,190628671
207146_at,17,36869587
207147_at,2,172672412
207148_x_at,4,120277112
207149_at,5,21786910
207150_at,10,50488352
207151_at,7,31069333
207152_at,9,86475130
207153_s_at,1,92484634
207154_at,14,101097440
207155_at,12,113277500
207156_at,6,27208799
207157_s_at,1,84736679
207158_at,12,7693263
207159_x_at,19,18655424
207160_at,3,161189477
207161_at,7,26539264
207162_s_at,9,139892061
207163_s_at,14,104306752
207164_s_at,1,242283720
207165_at,5,162820240
207166_at,7,93373986
207167_at,1,117345956
207168_s_at,5,134697971
207169_x_at,6,30964148
207170_s_at,12,49728923
207172_s_at,16,63538926
207173_x_at,16,63538185
207174_at,13,90849220
207175_at,3,188053525
207176_s_at,3,120729000
207177_at,1,78729430
207178_s_at,6,116369386
207179_at,10,102881276
207180_s_at,11,20342262
207181_s_at,10,115429684
207182_at,5,161045547
207183_at,12,12705262
207184_at,12,200141
207185_at,14,69312304
207186_s_at,17,63252700
207187_at,19,17797960
207188_at,17,71509013
207189_s_at,17,3872459
207190_at,17,3872459
207191_s_at,15,72253957
207192_at,16,2226726
207193_at,16,66073974
207194_s_at,19,10258679
207195_at,3,1109628
207196_s_at,5,150389703
207197_at,X,136476011
207198_s_at,2,108571198
207199_at,5,1306288
207200_at,X,38096239
207201_s_at,6,160462921
207202_s_at,3,120982020
207203_s_at,3,120983556
207204_at,17,77110016
207205_at,19,46817183
207206_s_at,17,6840127
207207_at,11,7066858
207208_at,11,7066858
207209_at,18,570366
207210_at,X,151087279
207211_at,11,118732721
207212_at,5,526424
207213_s_at,11,118732721
207214_at,9,33230195
207215_at,22,22670594
207216_at,9,116705331
207217_s_at,X,99985480
207218_at,X,138440560
207219_at,1,40688365
207220_at,12,14873513
207221_at,19,16860825
207222_at,16,14673907
207223_s_at,9,114025886
207224_s_at,19,56337394
207225_at,17,71975245
207226_at,6,27914188
207227_x_at,22,28164571
207228_at,9,70817261
207229_at,12,10633038
207230_at,11,125335783
207231_at,3,109804387
207232_s_at,3,109804387
207233_s_at,3,70068443
207234_at,9,3237498
207235_s_at,11,87880625
207236_at,19,42033631
207237_at,1,111015832
207238_s_at,1,196874853
207239_s_at,X,46963410
207240_s_at,2,48767472
207241_at,4,5577783
207242_s_at,21,29847736
207243_s_at,10,71593394
207244_x_at,19,46286211
207245_at,4,69085499
207246_at,Y,2881977
207247_s_at,Y,2881977
207248_at,11,29988653
207249_s_at,15,43331725
207250_at,14,60045774
207251_at,18,28023985
207252_at,X,46949263
207253_s_at,16,4838137
207254_at,13,98134056
207255_at,1,65658922
207256_at,10,54196918
207257_at,7,100156358
207258_at,21,38348185
207259_at,17,46193393
207260_at,2,219554052
207261_at,2,98352831
207262_at,12,55040721
207263_x_at,12,94135730
207264_at,22,37194028
207265_s_at,22,37194028
207266_x_at,12,64913887
207267_s_at,21,37300732
207268_x_at,2,203939890
207269_at,8,6780754
207270_x_at,17,70049160
207271_x_at,8,7742811
207272_at,3,115436167
207273_at,1,22290893
207274_at,17,4741844
207275_s_at,4,185914256
207276_at,X,139693090
207277_at,19,7710881
207278_s_at,19,7713871
207279_s_at,10,21114290
207280_at,4,123216021
207281_x_at,X,7771219
207282_s_at,1,201318969
207283_at,2,54608210
207284_s_at,8,62740207
207285_x_at,17,59340696
207286_at,4,56509793
207287_at,8,22553828
207288_at,X,1480813
207289_at,16,3040004
207290_at,1,206266071
207291_at,11,32808208
207292_s_at,17,19222464
207293_s_at,X,115216061
207294_at,X,115216030
207295_at,16,23105093
207296_at,20,2407238
207298_at,6,25953308
207299_s_at,6,146392111
207300_s_at,13,112808105
207301_at,5,106744249
207302_at,13,22653090
207303_at,7,31795771
207304_at,19,49109120
207305_s_at,18,27664172
207306_at,20,532902
207307_at,X,113724806
207308_at,12,21313093
207309_at,12,116135361
207310_s_at,12,116137468
207311_at,17_,andom
207312_at,7,56116168
207313_x_at,19_,andom
207314_x_at,19_,andom
207315_at,18,65681174
207316_at,19,56908176
207317_s_at,1,116044165
207318_s_at,7,39956633
207319_s_at,7,39957843
207320_x_at,20,47163469
207321_s_at,12,121979493
207322_at,21,33936815
207323_s_at,18,72820710
207324_s_at,18,26963213
207325_x_at,X,152134718
207326_at,4,75890471
207327_at,6,133604205
207328_at,17,4480964
207329_at,11,102088539
207330_at,12,9192703
207331_at,1,212888645
207332_s_at,3,197260746
207333_at,6,142438437
207334_s_at,3,30623041
207335_x_at,4,656225
207336_at,12,23578082
207337_at,X,153533439
207338_s_at,16,3213267
207339_s_at,6,31656313
207341_at,19,791964
207342_at,16,56475003
207343_at,17,31285637
207344_at,12,4594942
207345_at,5,52812351
207346_at,12,129842301
207347_at,10,50336714
207348_s_at,17,30331696
207349_s_at,11,73392374
207350_s_at,1,169940182
207351_s_at,1,155042658
207352_s_at,5,160653448
207353_s_at,4_,andom
207354_at,17,31327647
207355_at,1,53326143
207356_at,8,7789608
207357_s_at,5,153763529
207358_x_at,1,39469437
207359_at,12,120165774
207360_s_at,20,60810633
207361_at,7,106607558
207362_at,15,43564394
207363_at,X,18567957
207364_at,X,153152125
207365_x_at,2,61357893
207366_at,20,43154364
207367_at,13,24152694
207368_at,1,23392156
207369_at,X,135397711
207370_at,4,88939725
207371_at,,
207372_s_at,9,139062869
207373_at,2,176689775
207374_at,3,147633771
207375_s_at,10,6034339
207376_at,10,134901397
207377_at,X,42521562
207378_at,11,118034170
207379_at,5,83274836
207380_x_at,X,99984977
207381_at,17,7916709
207382_at,3,190831970
207383_s_at,16,666075
207384_at,19,51214280
207385_at,X,132178362
207386_at,8,65671245
207387_s_at,X,30581524
207388_s_at,9,131540430
207389_at,17,4776404
207390_s_at,22,29817334
207391_s_at,1,149437695
207392_x_at,4,69546973
207393_at,6,55147029
207394_at,19,57791720
207395_at,6,26609434
207396_s_at,3,185442906
207397_s_at,2,176665777
207398_at,2,176665777
207399_at,3,134601617
207400_at,4,164488063
207401_at,1,212227908
207402_at,19,63636407
207403_at,X,107862367
207404_s_at,6,87704128
207405_s_at,5,68702287
207406_at,8,59565291
207407_x_at,1,47375432
207408_at,3,38322430
207409_at,5,135310498
207410_s_at,2,74595441
207412_x_at,9,134947746
207413_s_at,3,38564560
207414_s_at,15,99661661
207415_at,2,160511109
207416_s_at,16,66676875
207417_s_at,19,9334695
207418_s_at,6,110820496
207419_s_at,22,35951987
207420_at,8,120148696
207421_at,16,86479125
207422_at,14,70058379
207423_s_at,14,70058831
207424_at,12,79634931
207425_s_at,17,72827228
207426_s_at,1,171419496
207427_at,22,49523512
207428_x_at,1,1560962
207429_at,6,160558028
207430_s_at,10,51219558
207431_s_at,1,222437590
207432_at,19,12724471
207433_at,1,205007570
207434_s_at,11,117196067
207435_s_at,16,2742649
207436_x_at,10,97104692
207437_at,14,26009163
207438_s_at,15,73677489
207439_s_at,X,48645402
207440_at,X,48645402
207441_at,4,71283446
207442_at,17,35425218
207443_at,6,108593954
207444_at,3,38282334
207445_s_at,3,45903022
207446_at,4,38504802
207447_s_at,12,84896654
207448_at,21,45507901
207449_s_at,21,45511570
207450_s_at,7,39012932
207451_at,14,36119535
207452_s_at,11,98932082
207453_s_at,9,34980715
207454_at,1,37039200
207455_at,3,154036124
207456_at,8,76482825
207457_s_at,6,31782659
207458_at,8,144520176
207459_x_at,4,145136732
207460_at,19,495026
207461_at,17,7732833
207462_at,X,14457716
207463_x_at,7,142158403
207464_at,1,110362924
207465_at,20,39099060
207466_at,11,68214501
207467_x_at,5,96105028
207468_s_at,10,99516507
207469_s_at,X,15312846
207470_at,1,8363004
207471_at,6,88330288
207472_at,6,88330288
207473_at,6,33870426
207474_at,3,43319607
207475_at,4,120457853
207476_at,2,24301360
207477_at,2,15554181
207478_at,2,15554181
207479_at,8,48366194
207480_s_at,15,34970577
207481_at,1,144345581
207482_at,20,43435941
207483_s_at,12,65949398
207484_s_at,6,31969259
207485_x_at,6,26510560
207486_x_at,7,29200850
207487_at,18,8004414
207488_at,15,73758449
207489_at,16,67625389
207490_at,2,219826208
207491_at,11,75106512
207492_at,3,25797487
207493_x_at,X,52797049
207494_s_at,6,35335528
207495_at,4,12979268
207496_at,11,59612712
207497_s_at,11,59612764
207498_s_at,22,40852446
207499_x_at,15,89279543
207500_at,11,104370179
207501_s_at,3,193344455
207502_at,1,42391678
207503_at,6,167504125
207504_at,16,65435891
207505_at,4,82228860
207506_at,10,131824671
207507_s_at,2,175751118
207508_at,2,175751118
207509_s_at,19,59705934
207510_at,14,95799766
207511_s_at,2,219745139
207513_s_at,9,103201130
207514_s_at,3,50204056
207515_s_at,6,43592804
207516_at,15,76703690
207517_at,1,181422021
207518_at,17,52266551
207519_at,17,25549056
207520_at,1,191304595
207521_s_at,17,3775388
207522_s_at,17,3773917
207523_at,6,32368465
207524_at,7,116380631
207525_s_at,19,14449573
207526_s_at,2,102321110
207527_at,1,158317983
207528_s_at,4,139312458
207529_at,8,6900238
207530_s_at,9,21995889
207531_at,2,208701107
207532_at,2,208694576
207533_at,17,29711511
207534_at,X,30171768
207535_s_at,10,104145452
207536_s_at,1,7902969
207537_at,X,54976314
207538_at,5,132037576
207539_s_at,5,132037576
207540_s_at,9,92603889
207541_s_at,1,11049264
207542_s_at,7,30918011
207543_s_at,10,74436987
207544_s_at,4,100344901
207545_s_at,14,72811678
207546_at,13,113351184
207547_s_at,3,58524886
207548_at,3,6877926
207549_x_at,1,205992096
207550_at,1,43576061
207551_s_at,X,11686198
207552_at,12,52345103
207553_at,8,54304383
207554_x_at,19,3545776
207555_s_at,19,3546517
207556_s_at,11,46325697
207557_s_at,1,235272324
207558_s_at,4,111758030
207559_s_at,X,70376198
207560_at,15,83228912
207561_s_at,7,150376894
207562_at,4,944312
207563_s_at,X,70684066
207564_x_at,X,70682291
207565_s_at,1,179269761
207566_at,1,179269761
207567_at,17,23824790
207568_at,8,42727365
207569_at,6,117716222
207570_at,X,505078
207571_x_at,1,28078839
207572_at,1,243354626
207573_x_at,11,117777540
207574_s_at,19,2427256
207575_at,15,73362228
207576_x_at,20,3000265
207577_at,5,147841291
207578_s_at,5,147842815
207579_at,X,30163901
207580_at,X,30170113
207581_s_at,X,30170113
207582_at,1,70157592
207583_at,12,38232813
207584_at,6,160794216
207585_s_at,5,18085390
207586_at,7,155288319
207587_at,2,208733708
207588_at,,
207589_at,5,159276367
207590_s_at,X,100242700
207591_s_at,1,26928457
207592_s_at,15,28302453
207593_at,11,118525886
207594_s_at,21,32925170
207595_s_at,8,22078857
207596_at,11,63065662
207597_at,8,39561298
207598_x_at,7,151975522
207599_at,11,101952773
207600_at,19,55510576
207601_at,4,70627276
207602_at,4,68370467
207603_at,3,27393179
207604_s_at,3,27393179
207605_x_at,7,64074597
207606_s_at,10,32135227
207607_at,11,2247542
207608_x_at,15,72828236
207609_s_at,15,72829124
207610_s_at,19,14707368
207611_at,6,27883138
207612_at,10,102212787
207613_s_at,5,149582744
207614_s_at,7,148058027
207615_s_at,16,88622816
207616_s_at,2,161701711
207617_at,X,41077594
207618_s_at,2,219232703
207619_at,1,31857227
207620_s_at,X,41264286
207621_s_at,17,17349602
207622_s_at,7,150535855
207623_at,7,150535855
207624_s_at,X,38013549
207625_s_at,20,31625657
207626_s_at,8,17440682
207627_s_at,12,49775271
207628_s_at,7,72735874
207629_s_at,1,154183781
207630_s_at,10,35477305
207631_at,17,38531152
207632_at,9,112470959
207633_s_at,9,112470959
207634_at,2,242440710
207635_s_at,1,208923202
207636_at,3,168642547
207637_at,12,107047584
207638_at,21,18563560
207639_at,7,72486248
207640_x_at,16,2461500
207641_at,17,16783123
207642_at,17,37589603
207643_s_at,12,6308200
207644_at,8,145670316
207645_s_at,1,145180992
207646_s_at,Y,26177696
207647_at,Y,26177696
207648_at,X,100361640
207649_at,17,36830334
207650_x_at,19,14444278
207651_at,3,152398819
207652_s_at,12,107209476
207653_at,1,47674275
207654_x_at,1,93584184
207655_s_at,10,97941452
207656_s_at,17,71454343
207657_x_at,17,18304455
207658_s_at,14,28306036
207659_s_at,3,39518557
207660_at,X,31106232
207661_s_at,10,105349266
207662_at,22,18124225
207663_x_at,X,49048282
207664_at,8,39720413
207665_at,14,69993250
207666_x_at,X,52797087
207667_s_at,17,21135373
207668_x_at,2,10841454
207669_at,12,50994351
207670_at,12,51040058
207671_s_at,11,61474423
207672_at,12,105557238
207673_at,19,41008696
207674_at,19,60077547
207675_x_at,1,44173617
207676_at,18,53253914
207677_s_at,22,35587003
207678_s_at,5,156985264
207679_at,2,222866592
207680_x_at,2,222866592
207681_at,X,70752491
207682_s_at,6,168161401
207683_at,17,23875085
207684_at,16,30004582
207685_at,22,23925824
207686_s_at,2,201806457
207687_at,12,56114809
207688_s_at,12,56114809
207689_at,11,67155651
207690_at,1,110404138
207691_x_at,10,97505919
207692_s_at,15,87147993
207693_at,2,152403686
207694_at,X,82649956
207695_s_at,X,130235163
207696_at,6,96668636
207697_x_at,19,59470131
207698_at,6,167930349
207699_at,14,23066974
207700_s_at,20,45564091
207701_at,22,30659506
207702_s_at,7,77486268
207703_at,Y,15144025
207704_s_at,17,9760019
207705_s_at,20,25381461
207706_at,1,214413916
207707_s_at,3,10317616
207708_at,17,7939942
207709_at,1,56883582
207710_at,1,150925225
207711_at,20,34852570
207712_at,21,10079666
207713_s_at,20,336814
207714_s_at,11,74955039
207715_at,2,208715541
207716_at,17,36846146
207717_s_at,12,6457073
207718_x_at,19,46285676
207719_x_at,4,119608191
207720_at,1,151500025
207721_x_at,5,130522885
207722_s_at,19,1936446
207723_s_at,12,10456179
207724_s_at,2,32142279
207725_at,4,147779537
207726_at,14,75912470
207727_s_at,1,45567501
207728_at,12,14469205
207729_at,5,26916465
207730_x_at,19,4428051
207731_at,5,87551676
207732_s_at,X,69581543
207733_x_at,19,48449274
207734_at,1,202005386
207735_at,18,27852442
207736_s_at,16,11269239
207737_at,8,30394459
207738_s_at,2,183497862
207739_s_at,X,49113114
207740_s_at,19,55103191
207741_x_at,16,1230939
207742_s_at,9,126324659
207743_at,11,66719966
207744_at,5,32184854
207745_at,11,67042993
207746_at,3,122709572
207747_s_at,16,56063794
207748_at,3,126511886
207749_s_at,3,137224350
207750_at,7,46787538
207751_at,8,105500963
207752_x_at,12,11396023
207753_at,19,62554486
207754_at,12,26099435
207755_at,,
207756_at,16,45516108
207757_at,5,178291075
207758_at,22,20612342
207759_s_at,1,229903130
207760_s_at,12,123374914
207761_s_at,12,49605068
207762_at,6,160808209
207763_at,1,151776246
207764_s_at,11,33264532
207765_s_at,9,35094165
207766_at,14,49866469
207767_s_at,2,73371573
207768_at,2,73371573
207769_s_at,X,48640479
207770_x_at,17,59303103
207771_at,16,31401939
207772_s_at,12,3520064
207773_x_at,7,99263674
207774_at,5,81303599
207775_at,7,10456012
207776_s_at,10,18589703
207777_s_at,2,230798700
207778_at,2,79216136
207779_at,11,1975060
207780_at,9,104803680
207781_s_at,X,84385745
207782_s_at,14,72684480
207783_x_at,X,53671521
207784_at,X,2841654
207785_s_at,4,26016891
207786_at,11,14868686
207787_at,17,36773272
207788_s_at,8,22479135
207789_s_at,7,153633335
207790_at,6,53767253
207791_s_at,2,65169074
207792_at,1,29011240
207793_s_at,1,29086222
207794_at,3,46370643
207795_s_at,12,10351906
207796_x_at,12,10351683
207797_s_at,4,186525211
207798_s_at,16,28741860
207799_x_at,X,100674300
207800_at,14,64003577
207801_s_at,12,119456550
207802_at,6,49803210
207803_s_at,4,71142907
207804_s_at,9,136912478
207805_s_at,12,120811020
207808_s_at,3,95074646
207809_s_at,X,153312123
207810_at,1,195274943
207811_at,17,36271080
207812_s_at,2,171493227
207813_s_at,17,70370217
207814_at,8,6769630
207815_at,4,74937876
207816_at,12,47247734
207817_at,9,21130630
207818_s_at,10,92492202
207819_s_at,7,86869296
207820_at,4,100416546
207821_s_at,8,141738356
207822_at,8,38400010
207823_s_at,6,31691276
207824_s_at,16,29725324
207825_s_at,7,30970160
207826_s_at,1,23757018
207827_x_at,4,90866789
207828_s_at,1,212843160
207829_s_at,5,172504154
207830_s_at,1,28029935
207831_x_at,19,12647533
207832_at,17,76623556
207833_s_at,21,37048101
207834_at,22,44277519
207835_at,22,44277519
207836_s_at,8,30361584
207837_at,8,30361584
207838_x_at,1,153184052
207839_s_at,9,35819268
207840_at,1,144407289
207841_at,X,57177687
207842_s_at,17,35550117
207843_x_at,18,70071511
207844_at,5,132021763
207845_s_at,4,146135769
207846_at,3,87391472
207847_s_at,1,153425164
207848_at,20,3011185
207849_at,4,123592074
207850_at,4,75121177
207851_s_at,19,7067637
207852_at,4,75081530
207853_s_at,5,175980068
207854_at,4,145015915
207855_s_at,1,109276130
207856_s_at,2,131975056
207857_at,19,59777070
207858_s_at,1,153526711
207859_s_at,8,42671718
207860_at,19,60109319
207861_at,16,55950210
207862_at,11,118332235
207863_at,3,120783601
207864_at,2,166970134
207865_s_at,1,39998626
207866_at,1,39998626
207867_at,7,127037581
207868_at,8,27374181
207869_s_at,17,45993819
207870_at,7,91408165
207871_s_at,7,116380631
207872_s_at,19,59796924
207873_x_at,22,25018216
207874_s_at,1,195123834
207875_at,11,11941443
207876_s_at,7,128257878
207877_s_at,1,222481689
207878_at,12,51448206
207879_at,,
207880_at,17,40192093
207881_at,21,36780034
207882_at,,
207883_s_at,7,100056272
207884_at,17,7846367
207885_at,X,16578201
207886_s_at,7,92891734
207887_s_at,7,92893570
207888_at,,
207889_at,9,135584707
207890_s_at,16,3036682
207891_s_at,X,152366321
207892_at,X,135558034
207893_at,Y,2714895
207894_s_at,14,95199345
207895_at,11,64569283
207896_s_at,3,38055699
207897_at,7,30658724
207899_at,17,44390916
207900_at,16,56005293
207901_at,5,158674368
207902_at,3,3086420
207904_s_at,5,96297554
207906_at,5,131424289
207907_at,19,6615567
207908_at,12,51324613
207909_x_at,Y,23775067
207910_at,11,61714285
207911_s_at,15,41312647
207912_s_at,Y,23775067
207913_at,19,46312192
207914_x_at,7,27248945
207915_at,X,106402346
207916_at,Y,23213410
207917_at,10,74554664
207918_s_at,Y,9275684
207919_at,11,3622936
207920_x_at,X,24079727
207921_x_at,2,113692563
207922_s_at,4,1273712
207923_x_at,2,113692563
207924_x_at,2,113692563
207925_at,20,23804792
207926_at,3,195596275
207927_at,10,92492167
207928_s_at,4,175800784
207929_at,X,16051599
207930_at,9,137553121
207931_s_at,1,205293265
207932_at,9,21399148
207933_at,16,21116273
207934_at,22,28164571
207935_s_at,17,36910759
207936_x_at,22,31083853
207937_x_at,8,38402853
207938_at,8,75899575
207939_x_at,4,10979825
207940_x_at,6,88910153
207941_s_at,X,43773388
207943_x_at,6,144303131
207944_at,7,5887046
207945_s_at,17,77795460
207946_at,4,141029528
207949_s_at,7,8119928
207950_s_at,10,61510237
207951_at,4,70855563
207952_at,5,131905034
207953_at,1,23904587
207954_at,3,129681244
207955_at,9,34651901
207956_x_at,13,32058684
207957_s_at,16,23754860
207958_at,4,70489561
207959_s_at,17,11726948
207960_at,,
207961_x_at,16,15704496
207962_at,6,44242442
207963_at,6,168136354
207964_x_at,9,21176692
207965_at,10,71001796
207966_s_at,16,73044216
207967_at,1,148306505
207968_s_at,5,88054071
207969_x_at,11,125047439
207971_s_at,2,65137102
207972_at,5,151182360
207973_x_at,11,125047439
207974_s_at,5,133521288
207976_at,3,47299439
207977_s_at,1,166932371
207978_s_at,9,101623957
207979_s_at,2,106470264
207980_s_at,6,139735903
207981_s_at,1,214743216
207982_at,6,26215070
207983_s_at,X,122992509
207984_s_at,17,39309058
207985_at,,
207986_x_at,17,58864245
207987_s_at,8,25332692
207988_s_at,2,218790364
207989_at,6,154402168
207990_x_at,11,125047439
207991_x_at,11,125047439
207992_s_at,11,10428799
207993_s_at,15,39310795
207994_s_at,6,154402135
207995_s_at,19,7734128
207996_s_at,18,13610866
207998_s_at,3,53504115
207999_s_at,21,45318942
208000_at,8,143913218
208002_s_at,1,6246918
208003_s_at,16,68157387
208004_at,4,71298281
208005_at,17,8865583
208006_at,5,169465550
208007_at,,
208008_at,17,25908255
208009_s_at,1,3373394
208010_s_at,1,114177091
208011_at,1,114177091
208012_x_at,2,230749544
208013_s_at,11,125047439
208014_x_at,1,23904587
208015_at,4,146679180
208016_s_at,3,149941474
208017_s_at,X,138491595
208018_s_at,20,30103870
208019_at,X,47114925
208020_s_at,12,2032989
208021_s_at,4,38965475
208022_s_at,7,48934724
208023_at,1,1136734
208024_s_at,22,17273922
208025_s_at,12,64504177
208026_at,6,26348126
208027_s_at,10,98116245
208028_s_at,6,28601767
208029_s_at,8,98857341
208030_s_at,4,2847417
208031_s_at,19,5945643
208032_s_at,X,122145838
208033_s_at,16,71378456
208034_s_at,13,112860968
208035_at,5,178337937
208036_at,7,128199782
208037_s_at,19,447499
208038_at,2,102169864
208039_at,,
208040_s_at,11,47309526
208041_at,13,113369594
208042_at,5,76362036
208043_at,,
208044_s_at,6,35418381
208045_at,4,148166522
208046_at,6,26129706
208047_s_at,2,191232128
208048_at,2,75131670
208049_s_at,2,75131670
208050_s_at,7,142696811
208051_s_at,17,18494232
208052_x_at,19,46992395
208053_at,X,108502790
208054_at,10,69383965
208055_s_at,10,69383965
208056_s_at,16,87468783
208057_s_at,2,121271334
208058_s_at,22,38183270
208059_at,3,39346267
208060_at,1,18830086
208061_at,,
208062_s_at,5,139215444
208063_s_at,1,228949752
208064_s_at,18,53169041
208065_at,18,53169041
208066_s_at,1,89091204
208067_x_at,Y,13944308
208068_x_at,17,59348294
208069_x_at,17,59348294
208070_s_at,6,111726970
208071_s_at,19,59558687
208072_s_at,2,233961538
208073_x_at,21,37379959
208074_s_at,19,52033263
208075_s_at,17,29621352
208076_at,6,26296727
208077_at,9,6457617
208078_s_at,10,31648166
208079_s_at,20,54377872
208080_at,20,54377872
208081_s_at,19,12321184
208082_x_at,X,40578339
208083_s_at,2,160666478
208084_at,2,160666478
208085_s_at,X,11071437
208086_s_at,X,31049681
208087_s_at,20,55612309
208088_s_at,1,195213330
208089_s_at,13,59911820
208090_s_at,21,44534575
208091_s_at,1,146559955
208092_s_at,2,16597381
208093_s_at,17,8279967
208094_s_at,19,13723418
208095_s_at,4,57044131
208096_s_at,6,56029347
208097_s_at,14,50776643
208098_at,6,29367183
208099_x_at,14,75197372
208100_x_at,1,149371156
208101_s_at,9,130173460
208102_s_at,10,104152364
208103_s_at,1,148459304
208104_s_at,7,99902086
208105_at,19,50863341
208106_x_at,19,48102894
208107_s_at,16,20725333
208108_s_at,X,152823761
208109_s_at,15,75303306
208110_x_at,19,55013370
208111_at,X,152823563
208112_x_at,11,64376783
208113_x_at,13,24568313
208114_s_at,1,154959036
208115_x_at,10,127416476
208116_s_at,6,119542015
208117_s_at,X,64649187
208118_x_at,16,22370441
208119_s_at,19,19905681
208120_x_at,6,27902088
208121_s_at,12,15366753
208122_x_at,19_,andom
208123_at,8,73612179
208124_s_at,2,74734996
208126_s_at,10,96433367
208127_s_at,2,46779852
208128_x_at,6,168161401
208129_x_at,21,35085921
208130_s_at,7,139175420
208131_s_at,20,47553820
208132_x_at,6,31696576
208133_at,,
208134_x_at,19,48121288
208135_at,17,33162728
208136_s_at,16,3100462
208137_x_at,19,57898673
208138_at,17,37122105
208139_s_at,5,158229131
208140_s_at,17,17816941
208141_s_at,19,3441821
208142_at,14,20283938
208143_s_at,14,20283938
208144_s_at,1,54342844
208145_at,20,1264214
208146_s_at,7,29001774
208147_s_at,10,96786518
208148_at,17,10287331
208149_x_at,12,31118118
208151_x_at,22,37211628
208152_s_at,10,70385927
208153_s_at,5,150863846
208154_at,1,51192820
208155_x_at,X,49212423
208156_x_at,8,145011899
208157_at,21,36993860
208158_s_at,18,19996009
208159_x_at,12,31118098
208160_at,9,129766958
208161_s_at,17,46067226
208162_s_at,9,129766958
208163_s_at,17,43245692
208164_s_at,X,154880439
208165_s_at,6,27323486
208166_at,8,89155948
208167_s_at,8,89155948
208168_s_at,1,201452417
208169_s_at,1,71090712
208170_s_at,6,30183808
208172_s_at,8,73642523
208173_at,9,21067111
208174_x_at,5,112255211
208175_s_at,4,88790482
208176_at,,
208177_at,5,176744060
208178_x_at,5,14196945
208179_x_at,19_,andom
208180_s_at,6,26393038
208181_at,6,26393038
208182_x_at,9,21191233
208183_at,4,104730073
208184_s_at,21,44256665
208185_x_at,5,137909194
208186_s_at,19,47597505
208187_s_at,5,137909527
208188_at,17,36975621
208189_s_at,11,76516957
208190_s_at,19,40431621
208191_x_at,19,48388742
208192_at,,
208193_at,5,135255833
208194_s_at,2,152696641
208195_at,2,179098965
208196_x_at,18,75261313
208198_x_at,19_,andom
208199_s_at,18,5280436
208200_at,2,113248108
208201_at,10,135330421
208202_s_at,5,133940354
208203_x_at,19_,andom
208204_s_at,3,8750524
208205_at,5,140207540
208206_s_at,11,64250959
208207_at,,
208208_at,17,10144907
208209_s_at,1,205328830
208210_at,6,160247963
208211_s_at,2,29269315
208212_s_at,2,29269145
208213_s_at,3,157492288
208214_at,10,115793804
208215_x_at,11,627304
208216_at,17,45405128
208217_at,6,90023957
208218_s_at,12,50631752
208219_at,12,50631752
208220_x_at,Y,6793958
208221_s_at,10,98750600
208222_at,12,50631752
208223_s_at,12,50631752
208224_at,17,43961792
208225_at,10,123287469
208226_x_at,7,87401637
208227_x_at,7,87401637
208228_s_at,10,123228721
208229_at,10,123233221
208230_s_at,8,32525678
208231_at,8,32525678
208232_x_at,8,31616809
208233_at,1,13812966
208234_x_at,10,123266837
208235_x_at,X,49103595
208237_x_at,7,87401670
208238_x_at,,
208239_at,9,99653431
208240_s_at,5,141953965
208241_at,8,32525349
208242_at,18,55086732
208243_s_at,6,88910278
208244_at,4,82171142
208245_at,5,104463073
208246_x_at,16,65140683
208247_at,3,55666284
208248_x_at,11,129445010
208249_s_at,13,94024276
208250_s_at,10,124310170
208251_at,1,110555499
208252_s_at,10,73394128
208253_at,19,56646074
208254_at,15,57227096
208255_s_at,19,18503572
208256_at,19,1237152
208257_x_at,19,48062462
208258_s_at,22,28033029
208259_x_at,9,21191467
208260_at,1,204390566
208261_x_at,9,21196179
208262_x_at,16,3232028
208263_at,4,57036799
208264_s_at,15,42616624
208265_at,2,228183049
208266_at,8,141012597
208267_at,7,142315336
208268_at,8,24207568
208269_s_at,8,24207568
208270_s_at,1,200218413
208271_at,7,4866041
208272_at,19,5871913
208273_at,1,245217061
208274_at,1,184636326
